,id,main_code,statistics_main_code,name,advisor,trustee,operate_mode_id,operate_mode,underlying_asset_type_id,underlying_asset_type,invest_style_id,invest_style,start_date,end_date
0,1,000001,,华夏成长,华夏基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2001-12-18,
1,7,000011,,华夏大盘,华夏基金管理有限公司,中国银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2004-08-11,
2,10,000017,,财通可持续混合,财通基金管理有限公司,中国工商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2013-03-27,
3,11,000020,,景顺品质,景顺长城基金管理有限公司,中国农业银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2013-03-19,
4,12,000021,,华夏优势增长混合,华夏基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2006-11-24,
5,18,000030,,长城核心优选混合,长城基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2013-04-18,
6,19,000031,000031,华夏复兴混合,华夏基金管理有限公司,中国农业银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2007-09-10,
7,22,000039,,农银高增长,农银汇理基金管理有限公司,交通银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2013-03-26,
8,34,000056,,建信消费,建信基金管理有限责任公司,中国民生银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2013-06-14,
9,35,000057,,中银消费,中银基金管理有限公司,招商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2013-04-25,
10,36,000058,,国联安安泰灵活配置混合,国联安基金管理有限公司,中国工商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2013-04-23,
11,39,000061,,华夏盛世混合,华夏基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2009-12-11,
12,41,000063,,长盛电子信息,长盛基金管理有限公司,中国银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2013-05-10,
13,43,000065,,国海焦点驱动,国海富兰克林基金管理有限公司,中国农业银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2013-05-07,
14,44,000066,000066,诺安鸿鑫混合,诺安基金管理有限公司,中国工商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2019-06-18,
15,48,000072,,华安稳健回报混合,华安基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2013-05-14,
16,49,000073,000073,上投摩根成长动力混合,上投摩根基金管理有限公司,中国银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2013-05-15,
17,53,000082,,嘉实研究阿尔法,嘉实基金管理有限公司,中国农业银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2013-05-28,
18,54,000083,,汇添富消费行业混合,汇添富基金管理股份有限公司,中国建设银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2013-05-03,
19,67,000117,,广发轮动,广发基金管理有限公司,中国工商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2013-05-28,
